frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,1058.0,378.0,1
7,1058.0,378.0,1
8,1057.0,378.0,1
9,1057.0,377.0,1
10,1064.0,346.0,1
11,1065.0,346.0,1
12,1069.0,334.0,1
13,1069.0,334.0,1
14,1076.0,313.0,1
15,1076.0,313.0,1
16,1075.0,294.0,1
17,1075.0,294.0,1
18,1097.0,278.0,1
19,1097.0,278.0,1
20,1097.0,278.0,1
21,1097.0,278.0,1
22,1102.0,275.0,1
23,1103.0,275.0,1
24,1109.0,274.0,1
25,1109.0,274.0,1
26,1115.0,278.0,1
27,1115.0,278.0,1
28,1118.0,282.0,1
29,1117.0,282.0,1
30,1120.0,288.0,1
31,1120.0,288.0,1
32,1120.0,288.0,1
33,1120.0,288.0,1
34,1129.0,301.0,1
35,1129.0,301.0,1
36,1133.0,319.0,1
37,1133.0,320.0,1
38,1060.0,333.0,1
39,1060.0,333.0,1
40,1061.0,339.0,1
41,1061.0,339.0,1
42,1057.0,345.0,1
43,1057.0,345.0,1
44,1057.0,345.0,1
45,1057.0,345.0,1
46,1057.0,345.0,1
47,1057.0,345.0,1
48,1090.0,345.0,1
49,1090.0,345.0,1
50,1094.0,351.0,1
51,1094.0,351.0,1
52,1091.0,363.0,1
53,1091.0,363.0,1
54,1091.0,373.0,1
55,1091.0,373.0,1
56,1091.0,373.0,1
57,1091.0,373.0,1
58,1091.0,373.0,1
59,1091.0,373.0,1
60,1091.0,373.0,1
61,1091.0,373.0,1
62,1091.0,373.0,1
63,1091.0,373.0,1
64,1091.0,373.0,1
65,1091.0,373.0,1
66,1091.0,373.0,1
67,1091.0,373.0,1
68,1091.0,373.0,1
69,1091.0,373.0,1
70,1091.0,373.0,1
71,1091.0,373.0,1
72,1091.0,373.0,1
73,1091.0,373.0,1
74,1091.0,373.0,1
75,1091.0,373.0,1
76,1091.0,373.0,1
77,1091.0,373.0,1
78,1091.0,373.0,1
79,1091.0,373.0,1
80,1091.0,373.0,1
81,1091.0,373.0,1
82,1091.0,373.0,1
83,1091.0,373.0,1
84,1091.0,373.0,1
85,1091.0,373.0,1
86,1091.0,373.0,1
87,1091.0,373.0,1
88,1091.0,373.0,1
89,1091.0,373.0,1
90,1091.0,373.0,1
91,1091.0,373.0,1
92,1091.0,373.0,1
93,1091.0,373.0,1
94,1091.0,373.0,1
95,1091.0,373.0,1
96,1091.0,373.0,1
97,1091.0,373.0,1
98,1091.0,373.0,1
99,1091.0,373.0,1
100,1091.0,373.0,1
101,1091.0,373.0,1
102,1091.0,373.0,1
103,1091.0,373.0,1
104,1091.0,373.0,1
105,1091.0,373.0,1
106,1091.0,373.0,1
107,1091.0,373.0,1
108,1091.0,373.0,1
109,1091.0,373.0,1
110,1091.0,373.0,1
111,1091.0,373.0,1
112,1091.0,373.0,1
113,1091.0,373.0,1
114,1091.0,373.0,1
115,1091.0,373.0,1
116,1091.0,373.0,1
117,1091.0,373.0,1
118,1091.0,373.0,1
119,1091.0,373.0,1
120,1091.0,373.0,1
121,1091.0,373.0,1
122,1091.0,373.0,1
123,1091.0,373.0,1
124,1091.0,373.0,1
125,1091.0,373.0,1
126,1091.0,373.0,1
127,1091.0,373.0,1
128,1091.0,373.0,1
129,1091.0,373.0,1
130,1091.0,373.0,1
131,1091.0,373.0,1
132,1091.0,373.0,1
133,1091.0,373.0,1
134,1091.0,373.0,1
135,1091.0,373.0,1
136,1091.0,373.0,1
137,1091.0,373.0,1
138,1091.0,373.0,1
139,1091.0,373.0,1
140,1091.0,373.0,1
141,1091.0,373.0,1
142,1091.0,373.0,1
143,1091.0,373.0,1
144,1091.0,373.0,1
145,1091.0,373.0,1
146,1091.0,373.0,1
147,1091.0,373.0,1
148,1091.0,373.0,1
149,1091.0,373.0,1
150,1091.0,373.0,1
151,1091.0,373.0,1
152,1091.0,373.0,1
153,1091.0,373.0,1
154,1091.0,373.0,1
155,1091.0,373.0,1
156,1091.0,373.0,1
157,1091.0,373.0,1
158,1091.0,373.0,1
159,1091.0,373.0,1
160,1091.0,373.0,1
161,1091.0,373.0,1
162,1091.0,373.0,1
163,1091.0,373.0,1
164,1091.0,373.0,1
165,1091.0,373.0,1
166,1091.0,373.0,1
167,1091.0,373.0,1
168,1091.0,373.0,1
169,1091.0,373.0,1
170,1091.0,373.0,1
171,1091.0,373.0,1
172,1091.0,373.0,1
173,1091.0,373.0,1
174,1091.0,373.0,1
175,1091.0,373.0,1
