frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,863.0,429.0,1
36,863.0,430.0,1
37,879.0,410.0,1
38,879.0,410.0,1
39,895.0,392.0,1
40,895.0,392.0,1
41,895.0,393.0,1
42,895.0,392.0,1
43,907.0,385.0,1
44,907.0,385.0,1
45,922.0,381.0,1
46,922.0,381.0,1
47,938.0,381.0,1
48,938.0,381.0,1
49,951.0,385.0,1
50,951.0,385.0,1
51,965.0,393.0,1
52,965.0,393.0,1
53,965.0,393.0,1
54,965.0,393.0,1
55,980.0,407.0,1
56,980.0,407.0,1
57,981.0,409.0,1
58,981.0,409.0,1
59,960.0,424.0,1
60,939.0,439.0,1
61,939.0,439.0,1
62,939.0,439.0,1
63,939.0,439.0,1
64,939.0,439.0,1
65,939.0,439.0,1
66,939.0,439.0,1
67,939.0,439.0,1
68,939.0,439.0,1
69,939.0,439.0,1
70,939.0,439.0,1
71,939.0,439.0,1
72,939.0,439.0,1
73,939.0,439.0,1
74,939.0,439.0,1
75,939.0,439.0,1
76,939.0,439.0,1
77,939.0,439.0,1
78,939.0,439.0,1
79,939.0,439.0,1
80,939.0,439.0,1
81,939.0,439.0,1
82,939.0,439.0,1
83,939.0,439.0,1
84,939.0,439.0,1
85,939.0,439.0,1
86,939.0,439.0,1
87,939.0,439.0,1
88,939.0,439.0,1
89,939.0,439.0,1
90,939.0,439.0,1
91,939.0,439.0,1
92,939.0,439.0,1
93,939.0,439.0,1
94,939.0,439.0,1
95,939.0,439.0,1
96,939.0,439.0,1
97,939.0,439.0,1
98,939.0,439.0,1
99,939.0,439.0,1
100,939.0,439.0,1
101,939.0,439.0,1
102,939.0,439.0,1
103,939.0,439.0,1
104,939.0,439.0,1
105,939.0,439.0,1
106,939.0,439.0,1
107,939.0,439.0,1
108,939.0,439.0,1
109,939.0,439.0,1
110,939.0,439.0,1
111,939.0,439.0,1
112,939.0,439.0,1
113,939.0,439.0,1
114,939.0,439.0,1
115,939.0,439.0,1
116,939.0,439.0,1
117,939.0,439.0,1
118,939.0,439.0,1
119,939.0,439.0,1
120,939.0,439.0,1
121,939.0,439.0,1
122,939.0,439.0,1
123,939.0,439.0,1
124,939.0,439.0,1
125,939.0,439.0,1
126,939.0,439.0,1
127,939.0,439.0,1
128,939.0,439.0,1
129,939.0,439.0,1
130,939.0,439.0,1
131,939.0,439.0,1
132,939.0,439.0,1
133,939.0,439.0,1
134,939.0,439.0,1
135,939.0,439.0,1
136,939.0,439.0,1
137,939.0,439.0,1
138,939.0,439.0,1
139,939.0,439.0,1
140,939.0,439.0,1
141,939.0,439.0,1
142,939.0,439.0,1
143,939.0,439.0,1
144,939.0,439.0,1
145,939.0,439.0,1
146,939.0,439.0,1
147,939.0,439.0,1
148,939.0,439.0,1
149,939.0,439.0,1
150,939.0,439.0,1
151,939.0,439.0,1
152,939.0,439.0,1
153,939.0,439.0,1
154,939.0,439.0,1
155,939.0,439.0,1
156,939.0,439.0,1
157,939.0,439.0,1
158,939.0,439.0,1
159,939.0,439.0,1
160,939.0,439.0,1
161,939.0,439.0,1
162,939.0,439.0,1
163,939.0,439.0,1
164,939.0,439.0,1
165,939.0,439.0,1
166,939.0,439.0,1
167,939.0,439.0,1
168,939.0,439.0,1
