frame,x,y,visible
0,841.0,231.0,1
1,853.0,210.0,1
2,865.0,195.0,1
3,876.0,181.0,1
4,886.0,173.0,1
5,895.0,166.0,1
6,904.0,163.0,1
7,910.0,164.0,1
8,917.0,168.0,1
9,922.0,175.0,1
10,926.0,185.0,1
11,926.0,185.0,1
12,926.0,185.0,1
13,926.0,185.0,1
14,926.0,185.0,1
15,926.0,185.0,1
16,926.0,185.0,1
17,926.0,185.0,1
18,926.0,185.0,1
19,926.0,185.0,1
20,926.0,185.0,1
21,926.0,185.0,1
22,926.0,185.0,1
23,926.0,185.0,1
24,926.0,185.0,1
25,926.0,185.0,1
26,926.0,185.0,1
27,926.0,185.0,1
28,926.0,185.0,1
29,926.0,185.0,1
30,926.0,185.0,1
