frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,1124.0,442.0,1
74,1124.0,442.0,1
75,1134.0,407.0,1
76,1134.0,407.0,1
77,1134.0,407.0,1
78,1143.0,379.0,1
79,1143.0,379.0,1
80,1153.0,357.0,1
81,1153.0,357.0,1
82,1153.0,357.0,1
83,1161.0,338.0,1
84,1161.0,338.0,1
85,1168.0,324.0,1
86,1168.0,324.0,1
87,1168.0,324.0,1
88,1176.0,314.0,1
89,1183.0,309.0,1
90,1183.0,309.0,1
91,1183.0,309.0,1
92,1183.0,309.0,1
93,1183.0,309.0,1
94,1183.0,309.0,1
95,1183.0,309.0,1
96,1183.0,309.0,1
97,1183.0,309.0,1
98,1183.0,309.0,1
99,1183.0,309.0,1
100,1183.0,309.0,1
101,1183.0,309.0,1
102,1183.0,309.0,1
103,1183.0,309.0,1
104,1183.0,309.0,1
105,1183.0,309.0,1
106,1183.0,309.0,1
107,1183.0,309.0,1
108,1183.0,309.0,1
109,1183.0,309.0,1
110,1183.0,309.0,1
111,1183.0,309.0,1
112,1183.0,309.0,1
113,1183.0,309.0,1
114,1183.0,309.0,1
115,1183.0,309.0,1
116,1183.0,309.0,1
117,1183.0,309.0,1
118,1183.0,309.0,1
119,1183.0,309.0,1
120,1183.0,309.0,1
121,1183.0,309.0,1
122,1183.0,309.0,1
123,1183.0,309.0,1
124,1183.0,309.0,1
125,1183.0,309.0,1
126,1183.0,309.0,1
127,1183.0,309.0,1
128,1183.0,309.0,1
129,1183.0,309.0,1
130,1183.0,309.0,1
131,1183.0,309.0,1
132,1183.0,309.0,1
133,1183.0,309.0,1
134,1183.0,309.0,1
135,1183.0,309.0,1
136,1183.0,309.0,1
137,1183.0,309.0,1
138,1183.0,309.0,1
139,1183.0,309.0,1
140,1183.0,309.0,1
141,1183.0,309.0,1
142,1183.0,309.0,1
143,1183.0,309.0,1
144,1183.0,309.0,1
145,1183.0,309.0,1
146,1183.0,309.0,1
147,1183.0,309.0,1
148,1183.0,309.0,1
149,1183.0,309.0,1
150,1183.0,309.0,1
151,1183.0,309.0,1
152,1183.0,309.0,1
153,1183.0,309.0,1
154,1183.0,309.0,1
155,1183.0,309.0,1
156,1183.0,309.0,1
157,1183.0,309.0,1
158,1183.0,309.0,1
159,1183.0,309.0,1
160,1183.0,309.0,1
161,1183.0,309.0,1
162,1183.0,309.0,1
163,1183.0,309.0,1
164,1183.0,309.0,1
165,1183.0,309.0,1
166,1183.0,309.0,1
167,1183.0,309.0,1
