epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,498.298,1.46706,0.96445,1.01702,0.80457,0.78423,0.81439,0.43812,1.53582,1.06062,1.12253,0.000643101,0.000643101,0.000643101
43,509.975,1.44014,0.98182,1.01171,0.83349,0.71514,0.77475,0.39899,1.57226,1.07963,1.14239,0.000628101,0.000628101,0.000628101
44,521.156,1.4307,0.94512,1.01541,0.85223,0.7381,0.79021,0.44196,1.53983,1.109,1.15103,0.000612981,0.000612981,0.000612981
45,531.972,1.39629,1.00524,1.02105,0.88787,0.7619,0.80647,0.45776,1.58198,1.03728,1.16233,0.000597754,0.000597754,0.000597754
46,544.298,1.40062,0.9633,0.98278,0.84456,0.77633,0.81985,0.42056,1.69613,1.09949,1.2035,0.000582435,0.000582435,0.000582435
47,556.66,1.33738,0.96784,1.00185,0.83939,0.7619,0.82338,0.39193,1.76324,1.1118,1.25065,0.00056704,0.00056704,0.00056704
48,568.204,1.42523,0.92846,1.00726,1,0.73064,0.86867,0.43842,1.68634,1.06242,1.18205,0.000551584,0.000551584,0.000551584
49,578.405,1.40007,0.93585,1.00922,0.96189,0.7381,0.83141,0.46131,1.61358,0.98962,1.175,0.000536081,0.000536081,0.000536081
50,590.682,1.36298,0.91151,0.97713,0.97041,0.781,0.87182,0.48705,1.58539,0.91585,1.11031,0.000520548,0.000520548,0.000520548
51,603.432,1.30702,0.90609,0.99891,1,0.75605,0.86539,0.4446,1.68109,1.07064,1.19701,0.000505,0.000505,0.000505
52,615.447,1.31783,0.86442,0.9753,0.91127,0.73372,0.82385,0.39857,1.73624,1.1848,1.32173,0.000489452,0.000489452,0.000489452
53,627.577,1.39062,0.90011,1.00074,0.93934,0.73738,0.82834,0.45533,1.63059,1.0784,1.26404,0.000473919,0.000473919,0.000473919
54,637.943,1.29456,0.85916,0.97841,0.91357,0.75513,0.7772,0.43934,1.63196,1.01949,1.20778,0.000458416,0.000458416,0.000458416
55,649.326,1.26634,0.84768,0.96067,0.9187,0.80724,0.82801,0.46217,1.52402,0.94317,1.15815,0.00044296,0.00044296,0.00044296
56,661.046,1.28473,0.83239,0.97432,0.85419,0.7619,0.77925,0.47281,1.49394,0.92319,1.12838,0.000427565,0.000427565,0.000427565
57,673.447,1.34251,0.88575,0.96812,0.85636,0.7381,0.78941,0.48232,1.47085,0.96499,1.11344,0.000412246,0.000412246,0.000412246
58,684.478,1.26659,0.82593,0.93818,0.91647,0.78374,0.8362,0.47647,1.5456,0.96384,1.14302,0.000397019,0.000397019,0.000397019
59,695.115,1.25609,0.81822,0.94538,0.91664,0.78548,0.86458,0.46376,1.53194,0.92776,1.11686,0.000381899,0.000381899,0.000381899
60,706.902,1.26294,0.86272,0.95569,0.9181,0.80085,0.8573,0.47086,1.54868,0.93875,1.10726,0.000366899,0.000366899,0.000366899
61,719.126,1.22831,0.82028,0.95999,0.94594,0.83318,0.88533,0.47656,1.53637,0.91196,1.11567,0.000352037,0.000352037,0.000352037
62,730.835,1.24469,0.84377,0.95784,0.91881,0.80834,0.84619,0.48062,1.56446,0.92954,1.16258,0.000337325,0.000337325,0.000337325
63,741.661,1.17332,0.74245,0.94197,0.8874,0.78571,0.80989,0.4828,1.55206,0.98964,1.16382,0.000322778,0.000322778,0.000322778
64,752.881,1.21802,0.80945,0.95522,0.82436,0.78571,0.8118,0.4473,1.60363,1.07811,1.15401,0.000308412,0.000308412,0.000308412
65,764.287,1.26113,0.78695,0.93844,0.91581,0.77717,0.8386,0.49044,1.52707,1.01658,1.11727,0.000294239,0.000294239,0.000294239
66,777.23,1.17403,0.7303,0.94191,0.88807,0.75574,0.78287,0.50377,1.48071,0.9783,1.12515,0.000280275,0.000280275,0.000280275
67,789.894,1.22009,0.77497,0.94345,0.91481,0.78571,0.82704,0.49879,1.49704,0.95422,1.12974,0.000266532,0.000266532,0.000266532
68,799.63,1.23965,0.80696,0.90801,0.93614,0.80952,0.86501,0.46807,1.59371,0.96466,1.14919,0.000253024,0.000253024,0.000253024
69,811.915,1.30892,0.82205,0.95554,0.8816,0.7619,0.77827,0.48549,1.54419,0.93112,1.1475,0.000239766,0.000239766,0.000239766
70,823.759,1.14169,0.71935,0.92232,0.91593,0.77834,0.82797,0.4973,1.48965,0.93028,1.12985,0.000226769,0.000226769,0.000226769
71,835.515,1.20475,0.78045,0.9241,0.93842,0.80952,0.87827,0.49553,1.49262,0.93386,1.114,0.000214046,0.000214046,0.000214046
72,845.929,1.17767,0.78333,0.93051,0.968,0.80952,0.87423,0.49455,1.48664,0.96128,1.10952,0.000201611,0.000201611,0.000201611
73,857.574,1.17681,0.76926,0.90878,0.97105,0.79874,0.8738,0.49869,1.50968,0.98106,1.14326,0.000189475,0.000189475,0.000189475
74,869.36,1.14396,0.74465,0.94046,0.93471,0.78571,0.84116,0.4845,1.5306,0.96704,1.1653,0.000177651,0.000177651,0.000177651
75,881.103,1.18522,0.74779,0.91482,0.93669,0.78571,0.85619,0.49753,1.53137,0.98625,1.15193,0.000166149,0.000166149,0.000166149
76,893.005,1.21684,0.77485,0.94876,0.94004,0.78571,0.85549,0.49324,1.5311,0.98135,1.14543,0.000154982,0.000154982,0.000154982
77,903.481,1.19438,0.73397,0.94719,0.96272,0.7619,0.84965,0.48643,1.54247,0.9687,1.14458,0.000144161,0.000144161,0.000144161
78,915.435,1.17144,0.74974,0.92359,0.93489,0.80952,0.8781,0.49095,1.49306,0.93176,1.1215,0.000133695,0.000133695,0.000133695
79,927.693,1.10473,0.68648,0.90204,0.96647,0.80952,0.87902,0.49777,1.46114,0.8912,1.10728,0.000123596,0.000123596,0.000123596
80,939.234,1.16842,0.72982,0.91809,0.96687,0.80952,0.88763,0.50967,1.46654,0.88527,1.1032,0.000113873,0.000113873,0.000113873
81,950.934,1.17976,0.75024,0.93714,0.9441,0.80431,0.86493,0.50337,1.42307,0.84891,1.09532,0.000104537,0.000104537,0.000104537
82,961.673,1.07352,0.673,0.90043,0.93942,0.78571,0.85922,0.50314,1.39024,0.84918,1.09253,9.55951e-05,9.55951e-05,9.55951e-05
83,973.517,1.11394,0.70191,0.91296,0.91025,0.7619,0.82417,0.50294,1.41155,0.84749,1.10377,8.70577e-05,8.70577e-05,8.70577e-05
84,985.199,1.12658,0.76675,0.92063,0.93746,0.78571,0.84418,0.50146,1.42042,0.86268,1.10472,7.89327e-05,7.89327e-05,7.89327e-05
85,996.758,1.16553,0.71641,0.944,0.93767,0.78571,0.84844,0.5048,1.41272,0.84416,1.09945,7.12282e-05,7.12282e-05,7.12282e-05
86,1008.67,1.03979,0.6701,0.88496,0.97203,0.82748,0.8869,0.52586,1.40864,0.84673,1.09314,6.39518e-05,6.39518e-05,6.39518e-05
87,1020.04,1.1775,0.73291,0.90746,0.97205,0.82825,0.88775,0.52398,1.41921,0.84593,1.09847,5.71106e-05,5.71106e-05,5.71106e-05
88,1031.08,1.11926,0.70539,0.90727,0.9721,0.82975,0.88073,0.52718,1.43252,0.85144,1.10512,5.07115e-05,5.07115e-05,5.07115e-05
